money,time,ret1,ret2,ret5,ret_lag1,ret_lag2,ret_lag3,dist_from_max,dist_from_min,zscore_10,vol_5,vol_10,mom_3,mom_5,streak,future_price,target
13,2026-06-17 19:17:37,-0.1333333333333333,-0.23529411764705888,0.0,-0.11764705882352944,0.0,0.1333333333333333,-2.3717082451262845,0.0,-0.7115124735378849,0.1349101091120913,0.09002097756177059,-0.25098039215686274,0.036199095022624306,-2,15.0,1
14,2026-06-17 19:21:37,0.07692307692307687,-0.06666666666666665,-0.06666666666666665,-0.1333333333333333,-0.11764705882352944,0.0,-1.8333018983850986,0.6111006327950329,-0.1833301898385103,0.11724105214080353,0.0929172405024907,-0.17405731523378587,-0.040723981900452566,1,15.0,1
15,2026-06-17 19:22:37,0.0714285714285714,0.15384615384615374,-0.11764705882352944,0.07692307692307687,-0.1333333333333333,-0.11764705882352944,-1.2649110640673518,1.2649110640673518,0.31622776601683794,0.1006619056498505,0.0946797690171556,0.015018315018314965,-0.10262874380521447,2,14.0,0
14,2026-06-17 19:23:37,-0.06666666666666665,0.0,-0.17647058823529416,0.0714285714285714,0.07692307692307687,-0.1333333333333333,-1.992633492465214,0.6642111641550713,-0.39852669849304256,0.10167357824223655,0.09839772159094441,0.08168498168498162,-0.16929541047188112,-1,14.0,0
14,2026-06-17 19:24:37,0.0,-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,0.0714285714285714,0.07692307692307687,-2.1154522262502073,0.7051507420834024,-0.4936055194583812,0.09042664479602233,0.09839772159094441,0.004761904761904745,-0.05164835164835169,0,14.0,0
15,2026-06-17 19:25:37,0.0714285714285714,0.0714285714285714,0.15384615384615374,0.0,-0.06666666666666665,0.0714285714285714,-1.5543832804525182,1.5543832804525182,0.07771916402262563,0.06300185277235847,0.10002598719255959,0.004761904761904745,0.153113553113553,1,15.0,0
15,2026-06-17 19:26:37,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,-0.06666666666666665,-1.5543832804525182,1.5543832804525182,0.07771916402262563,0.05806790926292936,0.08808851900476222,0.0714285714285714,0.07619047619047614,0,13.0,0
14,2026-06-17 19:27:37,-0.06666666666666665,-0.06666666666666665,-0.06666666666666665,0.0,0.0714285714285714,0.0,-2.79078152825719,0.9302605094190632,-0.5581563056514376,0.057498890849994565,0.07740342445937161,0.004761904761904745,-0.06190476190476191,-1,13.0,0
14,2026-06-17 19:28:37,0.0,-0.06666666666666665,0.0,-0.06666666666666665,0.0,0.0714285714285714,-1.4815943949743888,1.4815943949743888,-0.4444783184923177,0.04884145297126887,0.07740342445937161,-0.06666666666666665,0.004761904761904745,0,15.0,1
14,2026-06-17 19:29:37,0.0,0.0,0.0,0.0,-0.06666666666666665,0.0,-1.5811388300841969,1.5811388300841969,-0.3162277660168382,0.04884145297126887,0.06877343977992743,-0.06666666666666665,0.004761904761904745,0,15.0,1
