money,time,percentage_change,direction,streak,money_lag1,streak_lag1,money_lag2,streak_lag2,money_lag3,streak_lag3,money_lag4,streak_lag4,money_lag5,streak_lag5,rolling_mean_5,rolling_std_5,rolling_min_5,rolling_max_5
16,2026-06-18 09:17:33,-11.11,-1.0,-1.0,18.0,2.0,16.0,1.0,14.0,0.0,14.0,1.0,12.0,0.0,15.6,1.6733200530681513,14.0,18.0
14,2026-06-18 09:18:33,-12.5,1.0,-2.0,16.0,-1.0,18.0,2.0,16.0,1.0,14.0,0.0,14.0,1.0,15.6,1.6733200530681513,14.0,18.0
15,2026-06-18 09:23:33,0.0,1.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,1.0,14.0,-2.0,15.0,0.0,15.0,15.0
16,2026-06-18 09:24:33,6.67,1.0,1.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,1.0,15.2,0.44721359549995815,15.0,16.0
18,2026-06-18 09:25:33,12.5,1.0,2.0,16.0,1.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.8,1.3038404810405297,15.0,18.0
20,2026-06-18 09:26:33,11.11,1.0,3.0,18.0,2.0,16.0,1.0,15.0,0.0,15.0,0.0,15.0,0.0,16.8,2.16794833886788,15.0,20.0
21,2026-06-18 09:27:33,5.0,-1.0,4.0,20.0,3.0,18.0,2.0,16.0,1.0,15.0,0.0,15.0,0.0,18.0,2.5495097567963922,15.0,21.0
19,2026-06-18 09:29:33,0.0,-1.0,0.0,19.0,-1.0,21.0,4.0,20.0,3.0,18.0,2.0,16.0,1.0,19.4,1.1401754250991374,18.0,21.0
17,2026-06-18 09:34:33,0.0,-1.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,-1.0,19.0,0.0,17.0,0.0,17.0,17.0
16,2026-06-18 09:35:33,-5.88,-1.0,-1.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,-1.0,16.8,0.44721359549995815,16.0,17.0
14,2026-06-18 09:37:33,0.0,-1.0,0.0,14.0,-2.0,16.0,-1.0,17.0,0.0,17.0,0.0,17.0,0.0,15.6,1.51657508881031,14.0,17.0
12,2026-06-18 09:39:33,0.0,-1.0,0.0,12.0,-1.0,14.0,0.0,14.0,-2.0,16.0,-1.0,17.0,0.0,13.6,1.6733200530681507,12.0,16.0
10,2026-06-18 09:40:33,-16.67,1.0,-1.0,12.0,0.0,12.0,-1.0,14.0,0.0,14.0,-2.0,16.0,-1.0,12.4,1.6733200530681507,10.0,14.0
11,2026-06-18 09:42:33,0.0,1.0,0.0,11.0,1.0,10.0,-1.0,12.0,0.0,12.0,-1.0,14.0,0.0,11.2,0.8366600265340751,10.0,12.0
12,2026-06-18 09:43:33,9.09,-1.0,1.0,11.0,0.0,11.0,1.0,10.0,-1.0,12.0,0.0,12.0,-1.0,11.2,0.8366600265340751,10.0,12.0
11,2026-06-18 09:44:33,-8.33,-1.0,-1.0,12.0,1.0,11.0,0.0,11.0,1.0,10.0,-1.0,12.0,0.0,11.0,0.7071067811865469,10.0,12.0
10,2026-06-18 09:45:33,-9.09,1.0,-2.0,11.0,-1.0,12.0,1.0,11.0,0.0,11.0,1.0,10.0,-1.0,11.0,0.7071067811865469,10.0,12.0
12,2026-06-18 09:47:33,0.0,1.0,0.0,12.0,1.0,10.0,-2.0,11.0,-1.0,12.0,1.0,11.0,0.0,11.4,0.8944271909999155,10.0,12.0
13,2026-06-18 09:50:33,0.0,-1.0,0.0,13.0,0.0,13.0,1.0,12.0,0.0,12.0,1.0,10.0,-2.0,12.6,0.5477225575051657,12.0,13.0
11,2026-06-18 09:51:33,-15.38,-1.0,-1.0,13.0,0.0,13.0,0.0,13.0,1.0,12.0,0.0,12.0,1.0,12.4,0.8944271909999157,11.0,13.0
10,2026-06-18 09:53:33,0.0,1.0,0.0,10.0,-2.0,11.0,-1.0,13.0,0.0,13.0,0.0,13.0,1.0,11.4,1.51657508881031,10.0,13.0
11,2026-06-18 09:54:33,10.0,1.0,1.0,10.0,0.0,10.0,-2.0,11.0,-1.0,13.0,0.0,13.0,0.0,11.0,1.224744871391589,10.0,13.0
12,2026-06-18 09:57:33,0.0,1.0,0.0,12.0,0.0,12.0,2.0,11.0,1.0,10.0,0.0,10.0,-2.0,11.4,0.8944271909999157,10.0,12.0
14,2026-06-18 09:59:33,0.0,1.0,0.0,14.0,1.0,12.0,0.0,12.0,0.0,12.0,2.0,11.0,1.0,12.8,1.0954451150103321,12.0,14.0
16,2026-06-18 10:00:33,14.29,1.0,1.0,14.0,0.0,14.0,1.0,12.0,0.0,12.0,0.0,12.0,2.0,13.6,1.6733200530681511,12.0,16.0
17,2026-06-18 10:01:33,6.25,1.0,2.0,16.0,1.0,14.0,0.0,14.0,1.0,12.0,0.0,12.0,0.0,14.6,1.949358868961793,12.0,17.0
19,2026-06-18 10:03:33,0.0,-1.0,0.0,19.0,3.0,17.0,2.0,16.0,1.0,14.0,0.0,14.0,1.0,17.0,2.1213203435596424,14.0,19.0
18,2026-06-18 10:04:33,-5.26,-1.0,-1.0,19.0,0.0,19.0,3.0,17.0,2.0,16.0,1.0,14.0,0.0,17.8,1.3038404810405297,16.0,19.0
16,2026-06-18 10:05:33,-11.11,-1.0,-2.0,18.0,-1.0,19.0,0.0,19.0,3.0,17.0,2.0,16.0,1.0,17.8,1.3038404810405297,16.0,19.0
14,2026-06-18 10:07:33,0.0,1.0,0.0,14.0,-3.0,16.0,-2.0,18.0,-1.0,19.0,0.0,19.0,3.0,16.2,2.2803508501982757,14.0,19.0
15,2026-06-18 10:08:33,7.14,-1.0,1.0,14.0,0.0,14.0,-3.0,16.0,-2.0,18.0,-1.0,19.0,0.0,15.4,1.6733200530681505,14.0,18.0
14,2026-06-18 10:09:33,-6.67,-1.0,-1.0,15.0,1.0,14.0,0.0,14.0,-3.0,16.0,-2.0,18.0,-1.0,14.6,0.8944271909999149,14.0,16.0
12,2026-06-18 10:10:33,-14.29,1.0,-2.0,14.0,-1.0,15.0,1.0,14.0,0.0,14.0,-3.0,16.0,-2.0,13.8,1.0954451150103315,12.0,15.0
14,2026-06-18 10:12:33,0.0,-1.0,0.0,14.0,1.0,12.0,-2.0,14.0,-1.0,15.0,1.0,14.0,0.0,13.8,1.0954451150103315,12.0,15.0
13,2026-06-18 10:16:33,0.0,1.0,0.0,13.0,0.0,13.0,0.0,13.0,-1.0,14.0,0.0,14.0,1.0,13.2,0.4472135954999569,13.0,14.0
15,2026-06-18 10:17:33,15.38,-1.0,1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,-1.0,14.0,0.0,13.4,0.8944271909999157,13.0,15.0
14,2026-06-18 10:18:33,-6.67,1.0,-1.0,15.0,1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,-1.0,13.6,0.8944271909999157,13.0,15.0
15,2026-06-18 10:22:33,0.0,-1.0,0.0,15.0,0.0,15.0,0.0,15.0,1.0,14.0,-1.0,15.0,1.0,14.8,0.44721359549995754,14.0,15.0
13,2026-06-18 10:23:33,-13.33,-1.0,-1.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,1.0,14.0,-1.0,14.6,0.8944271909999157,13.0,15.0
12,2026-06-18 10:25:33,0.0,1.0,0.0,12.0,-2.0,13.0,-1.0,15.0,0.0,15.0,0.0,15.0,0.0,13.4,1.51657508881031,12.0,15.0
14,2026-06-18 10:26:33,16.67,-1.0,1.0,12.0,0.0,12.0,-2.0,13.0,-1.0,15.0,0.0,15.0,0.0,13.2,1.3038404810405297,12.0,15.0
13,2026-06-18 10:27:33,-7.14,1.0,-1.0,14.0,1.0,12.0,0.0,12.0,-2.0,13.0,-1.0,15.0,0.0,12.8,0.8366600265340753,12.0,14.0
15,2026-06-18 10:28:33,15.38,-1.0,1.0,13.0,-1.0,14.0,1.0,12.0,0.0,12.0,-2.0,13.0,-1.0,13.2,1.3038404810405297,12.0,15.0
13,2026-06-18 10:30:33,0.0,1.0,0.0,13.0,-1.0,15.0,1.0,13.0,-1.0,14.0,1.0,12.0,0.0,13.6,0.8944271909999161,13.0,15.0
14,2026-06-18 10:31:33,7.69,1.0,1.0,13.0,0.0,13.0,-1.0,15.0,1.0,13.0,-1.0,14.0,1.0,13.6,0.8944271909999161,13.0,15.0
15,2026-06-18 10:32:33,7.14,-1.0,2.0,14.0,1.0,13.0,0.0,13.0,-1.0,15.0,1.0,13.0,-1.0,14.0,1.0000000000000002,13.0,15.0
14,2026-06-18 10:33:33,-6.67,-1.0,-1.0,15.0,2.0,14.0,1.0,13.0,0.0,13.0,-1.0,15.0,1.0,13.8,0.8366600265340758,13.0,15.0
13,2026-06-18 10:34:33,-7.14,1.0,-2.0,14.0,-1.0,15.0,2.0,14.0,1.0,13.0,0.0,13.0,-1.0,13.8,0.8366600265340758,13.0,15.0
15,2026-06-18 10:36:33,0.0,-1.0,0.0,15.0,1.0,13.0,-2.0,14.0,-1.0,15.0,2.0,14.0,1.0,14.4,0.8944271909999161,13.0,15.0
14,2026-06-18 10:37:33,-6.67,-1.0,-1.0,15.0,0.0,15.0,1.0,13.0,-2.0,14.0,-1.0,15.0,2.0,14.2,0.8366600265340758,13.0,15.0
13,2026-06-18 10:38:33,-7.14,1.0,-2.0,14.0,-1.0,15.0,0.0,15.0,1.0,13.0,-2.0,14.0,-1.0,14.0,1.0000000000000002,13.0,15.0
15,2026-06-18 10:39:33,15.38,1.0,1.0,13.0,-2.0,14.0,-1.0,15.0,0.0,15.0,1.0,13.0,-2.0,14.4,0.8944271909999161,13.0,15.0
16,2026-06-18 10:40:33,6.67,-1.0,2.0,15.0,1.0,13.0,-2.0,14.0,-1.0,15.0,0.0,15.0,1.0,14.6,1.1401754250991383,13.0,16.0
15,2026-06-18 10:44:33,0.0,-1.0,0.0,15.0,0.0,15.0,0.0,15.0,-1.0,16.0,2.0,15.0,1.0,15.2,0.44721359549995837,15.0,16.0
13,2026-06-18 10:47:33,0.0,1.0,0.0,13.0,0.0,13.0,-1.0,15.0,0.0,15.0,0.0,15.0,0.0,13.8,1.095445115010332,13.0,15.0
14,2026-06-18 10:48:33,7.69,1.0,1.0,13.0,0.0,13.0,0.0,13.0,-1.0,15.0,0.0,15.0,0.0,13.6,0.8944271909999157,13.0,15.0
15,2026-06-18 10:49:33,7.14,1.0,2.0,14.0,1.0,13.0,0.0,13.0,0.0,13.0,-1.0,15.0,0.0,13.6,0.8944271909999157,13.0,15.0
17,2026-06-18 10:50:33,13.33,1.0,3.0,15.0,2.0,14.0,1.0,13.0,0.0,13.0,0.0,13.0,-1.0,14.4,1.6733200530681511,13.0,17.0
19,2026-06-18 10:51:33,11.76,1.0,4.0,17.0,3.0,15.0,2.0,14.0,1.0,13.0,0.0,13.0,0.0,15.6,2.4083189157584592,13.0,19.0
20,2026-06-18 10:53:33,0.0,-1.0,0.0,20.0,5.0,19.0,4.0,17.0,3.0,15.0,2.0,14.0,1.0,18.2,2.16794833886788,15.0,20.0
18,2026-06-18 10:54:33,-10.0,-1.0,-1.0,20.0,0.0,20.0,5.0,19.0,4.0,17.0,3.0,15.0,2.0,18.8,1.3038404810405302,17.0,20.0
16,2026-06-18 10:57:33,0.0,-1.0,0.0,16.0,0.0,16.0,-2.0,18.0,-1.0,20.0,0.0,20.0,5.0,17.2,1.7888543819998322,16.0,20.0
15,2026-06-18 10:58:33,-6.25,1.0,-1.0,16.0,0.0,16.0,0.0,16.0,-2.0,18.0,-1.0,20.0,0.0,16.2,1.0954451150103326,15.0,18.0
17,2026-06-18 10:59:33,13.33,-1.0,1.0,15.0,-1.0,16.0,0.0,16.0,0.0,16.0,-2.0,18.0,-1.0,16.0,0.7071067811865477,15.0,17.0
16,2026-06-18 11:00:33,-5.88,-1.0,-1.0,17.0,1.0,15.0,-1.0,16.0,0.0,16.0,0.0,16.0,-2.0,16.0,0.7071067811865477,15.0,17.0
14,2026-06-18 11:03:33,0.0,1.0,0.0,14.0,0.0,14.0,-2.0,16.0,-1.0,17.0,1.0,15.0,-1.0,15.0,1.414213562373095,14.0,17.0
15,2026-06-18 11:05:33,0.0,1.0,0.0,15.0,1.0,14.0,0.0,14.0,0.0,14.0,-2.0,16.0,-1.0,14.4,0.5477225575051657,14.0,15.0
16,2026-06-18 11:06:33,6.67,1.0,1.0,15.0,0.0,15.0,1.0,14.0,0.0,14.0,0.0,14.0,-2.0,14.8,0.8366600265340751,14.0,16.0
17,2026-06-18 11:07:33,6.25,-1.0,2.0,16.0,1.0,15.0,0.0,15.0,1.0,14.0,0.0,14.0,0.0,15.4,1.1401754250991376,14.0,17.0
16,2026-06-18 11:08:33,-5.88,-1.0,-1.0,17.0,2.0,16.0,1.0,15.0,0.0,15.0,1.0,14.0,0.0,15.8,0.8366600265340748,15.0,17.0
14,2026-06-18 11:09:33,-12.5,-1.0,-2.0,16.0,-1.0,17.0,2.0,16.0,1.0,15.0,0.0,15.0,1.0,15.6,1.1401754250991374,14.0,17.0
12,2026-06-18 11:10:33,-14.29,1.0,-3.0,14.0,-2.0,16.0,-1.0,17.0,2.0,16.0,1.0,15.0,0.0,15.0,1.9999999999999996,12.0,17.0
13,2026-06-18 11:14:33,0.0,-1.0,0.0,13.0,0.0,13.0,0.0,13.0,1.0,12.0,-3.0,14.0,-2.0,12.8,0.4472135954999564,12.0,13.0
12,2026-06-18 11:15:33,-7.69,-1.0,-1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,1.0,12.0,-3.0,12.8,0.44721359549995815,12.0,13.0
10,2026-06-18 11:16:33,-16.67,1.0,-2.0,12.0,-1.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,1.0,12.2,1.3038404810405297,10.0,13.0
12,2026-06-18 11:17:33,20.0,1.0,1.0,10.0,-2.0,12.0,-1.0,13.0,0.0,13.0,0.0,13.0,0.0,12.0,1.224744871391589,10.0,13.0
13,2026-06-18 11:18:33,8.33,1.0,2.0,12.0,1.0,10.0,-2.0,12.0,-1.0,13.0,0.0,13.0,0.0,12.0,1.224744871391589,10.0,13.0
15,2026-06-18 11:22:33,0.0,-1.0,0.0,15.0,0.0,15.0,0.0,15.0,3.0,13.0,2.0,12.0,1.0,14.6,0.8944271909999154,13.0,15.0
13,2026-06-18 11:23:33,-13.33,1.0,-1.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,3.0,13.0,2.0,14.6,0.8944271909999157,13.0,15.0
14,2026-06-18 11:24:33,7.69,1.0,1.0,13.0,-1.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,3.0,14.4,0.8944271909999157,13.0,15.0
16,2026-06-18 11:25:33,14.29,1.0,2.0,14.0,1.0,13.0,-1.0,15.0,0.0,15.0,0.0,15.0,0.0,14.6,1.140175425099138,13.0,16.0
17,2026-06-18 11:29:33,0.0,1.0,0.0,17.0,0.0,17.0,0.0,17.0,3.0,16.0,2.0,14.0,1.0,16.8,0.44721359549995815,16.0,17.0
19,2026-06-18 11:30:33,11.76,-1.0,1.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,3.0,16.0,2.0,17.4,0.8944271909999163,17.0,19.0
18,2026-06-18 11:36:33,0.0,1.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,-1.0,18.0,0.0,18.0,18.0
19,2026-06-18 11:37:33,5.56,1.0,1.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.2,0.44721359549995815,18.0,19.0
20,2026-06-18 11:38:33,5.26,-1.0,2.0,19.0,1.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.6,0.8944271909999156,18.0,20.0
19,2026-06-18 11:39:33,-5.0,-1.0,-1.0,20.0,2.0,19.0,1.0,18.0,0.0,18.0,0.0,18.0,0.0,18.8,0.8366600265340751,18.0,20.0
17,2026-06-18 11:40:33,-10.53,-1.0,-2.0,19.0,-1.0,20.0,2.0,19.0,1.0,18.0,0.0,18.0,0.0,18.6,1.1401754250991378,17.0,20.0
16,2026-06-18 11:41:33,-5.88,-1.0,-3.0,17.0,-2.0,19.0,-1.0,20.0,2.0,19.0,1.0,18.0,0.0,18.2,1.6431676725154982,16.0,20.0
14,2026-06-18 11:42:33,-12.5,-1.0,-4.0,16.0,-3.0,17.0,-2.0,19.0,-1.0,20.0,2.0,19.0,1.0,17.2,2.387467277262664,14.0,20.0
13,2026-06-18 11:45:33,0.0,-1.0,0.0,13.0,0.0,13.0,-5.0,14.0,-4.0,16.0,-3.0,17.0,-2.0,13.8,1.3038404810405293,13.0,16.0
12,2026-06-18 11:47:33,0.0,1.0,0.0,12.0,-1.0,13.0,0.0,13.0,0.0,13.0,-5.0,14.0,-4.0,12.6,0.5477225575051654,12.0,13.0
14,2026-06-18 11:48:33,16.67,1.0,1.0,12.0,0.0,12.0,-1.0,13.0,0.0,13.0,0.0,13.0,-5.0,12.8,0.8366600265340749,12.0,14.0
15,2026-06-18 11:49:33,7.14,1.0,2.0,14.0,1.0,12.0,0.0,12.0,-1.0,13.0,0.0,13.0,0.0,13.2,1.3038404810405295,12.0,15.0
16,2026-06-18 11:50:33,6.67,-1.0,3.0,15.0,2.0,14.0,1.0,12.0,0.0,12.0,-1.0,13.0,0.0,13.8,1.7888543819998315,12.0,16.0
15,2026-06-18 11:51:33,-6.25,1.0,-1.0,16.0,3.0,15.0,2.0,14.0,1.0,12.0,0.0,12.0,-1.0,14.4,1.5165750888103096,12.0,16.0
16,2026-06-18 11:53:33,0.0,1.0,0.0,16.0,1.0,15.0,-1.0,16.0,3.0,15.0,2.0,14.0,1.0,15.6,0.5477225575051645,15.0,16.0
17,2026-06-18 11:57:33,0.0,-1.0,0.0,17.0,0.0,17.0,0.0,17.0,1.0,16.0,0.0,16.0,1.0,16.8,0.44721359549995604,16.0,17.0
16,2026-06-18 11:58:33,-5.88,-1.0,-1.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,1.0,16.0,0.0,16.8,0.44721359549995815,16.0,17.0
14,2026-06-18 11:59:33,-12.5,1.0,-2.0,16.0,-1.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,1.0,16.2,1.3038404810405297,14.0,17.0
15,2026-06-18 12:00:33,7.14,-1.0,1.0,14.0,-2.0,16.0,-1.0,17.0,0.0,17.0,0.0,17.0,0.0,15.8,1.3038404810405297,14.0,17.0
13,2026-06-18 12:03:33,0.0,1.0,0.0,13.0,0.0,13.0,-1.0,15.0,1.0,14.0,-2.0,16.0,-1.0,13.6,0.8944271909999155,13.0,15.0
14,2026-06-18 12:04:33,7.69,-1.0,1.0,13.0,0.0,13.0,0.0,13.0,-1.0,15.0,1.0,14.0,-2.0,13.6,0.8944271909999155,13.0,15.0
13,2026-06-18 12:06:33,0.0,1.0,0.0,13.0,-1.0,14.0,1.0,13.0,0.0,13.0,0.0,13.0,-1.0,13.2,0.4472135954999569,13.0,14.0
14,2026-06-18 12:07:33,7.69,1.0,1.0,13.0,0.0,13.0,-1.0,14.0,1.0,13.0,0.0,13.0,0.0,13.4,0.5477225575051653,13.0,14.0
15,2026-06-18 12:10:33,0.0,1.0,0.0,15.0,0.0,15.0,2.0,14.0,1.0,13.0,0.0,13.0,-1.0,14.4,0.8944271909999152,13.0,15.0
16,2026-06-18 12:11:33,6.67,-1.0,1.0,15.0,0.0,15.0,0.0,15.0,2.0,14.0,1.0,13.0,0.0,15.0,0.7071067811865465,14.0,16.0
15,2026-06-18 12:12:33,-6.25,1.0,-1.0,16.0,1.0,15.0,0.0,15.0,0.0,15.0,2.0,14.0,1.0,15.2,0.44721359549995626,15.0,16.0
16,2026-06-18 12:15:33,0.0,-1.0,0.0,16.0,0.0,16.0,1.0,15.0,-1.0,16.0,1.0,15.0,0.0,15.8,0.44721359549995626,15.0,16.0
14,2026-06-18 12:16:33,-12.5,1.0,-1.0,16.0,0.0,16.0,0.0,16.0,1.0,15.0,-1.0,16.0,1.0,15.4,0.8944271909999152,14.0,16.0
15,2026-06-18 12:18:33,0.0,-1.0,0.0,15.0,1.0,14.0,-1.0,16.0,0.0,16.0,0.0,16.0,1.0,15.2,0.8366600265340748,14.0,16.0
14,2026-06-18 12:19:33,-6.67,-1.0,-1.0,15.0,0.0,15.0,1.0,14.0,-1.0,16.0,0.0,16.0,0.0,14.8,0.8366600265340748,14.0,16.0
12,2026-06-18 12:20:33,-14.29,-1.0,-2.0,14.0,-1.0,15.0,0.0,15.0,1.0,14.0,-1.0,16.0,0.0,14.0,1.2247448713915887,12.0,15.0
10,2026-06-18 12:21:33,-16.67,1.0,-3.0,12.0,-2.0,14.0,-1.0,15.0,0.0,15.0,1.0,14.0,-1.0,13.2,2.1679483388678795,10.0,15.0
11,2026-06-18 12:22:33,10.0,1.0,1.0,10.0,-3.0,12.0,-2.0,14.0,-1.0,15.0,0.0,15.0,1.0,12.4,2.0736441353327715,10.0,15.0
12,2026-06-18 12:25:33,0.0,-1.0,0.0,12.0,0.0,12.0,2.0,11.0,1.0,10.0,-3.0,12.0,-2.0,11.4,0.8944271909999152,10.0,12.0
10,2026-06-18 12:27:33,0.0,1.0,0.0,10.0,-1.0,12.0,0.0,12.0,0.0,12.0,2.0,11.0,1.0,11.2,1.0954451150103315,10.0,12.0
12,2026-06-18 12:29:33,0.0,-1.0,0.0,12.0,1.0,10.0,0.0,10.0,-1.0,12.0,0.0,12.0,0.0,11.2,1.0954451150103315,10.0,12.0
10,2026-06-18 12:30:33,-16.67,1.0,-1.0,12.0,0.0,12.0,1.0,10.0,0.0,10.0,-1.0,12.0,0.0,10.8,1.0954451150103315,10.0,12.0
12,2026-06-18 12:31:33,20.0,1.0,1.0,10.0,-1.0,12.0,0.0,12.0,1.0,10.0,0.0,10.0,-1.0,11.2,1.0954451150103315,10.0,12.0
13,2026-06-18 12:32:33,8.33,1.0,2.0,12.0,1.0,10.0,-1.0,12.0,0.0,12.0,1.0,10.0,0.0,11.8,1.0954451150103315,10.0,13.0
14,2026-06-18 12:33:33,7.69,1.0,3.0,13.0,2.0,12.0,1.0,10.0,-1.0,12.0,0.0,12.0,1.0,12.2,1.4832396974191322,10.0,14.0
16,2026-06-18 12:35:33,0.0,-1.0,0.0,16.0,4.0,14.0,3.0,13.0,2.0,12.0,1.0,10.0,-1.0,14.2,1.7888543819998315,12.0,16.0
14,2026-06-18 12:37:33,0.0,1.0,0.0,14.0,-1.0,16.0,0.0,16.0,4.0,14.0,3.0,13.0,2.0,14.8,1.0954451150103324,14.0,16.0
15,2026-06-18 12:38:33,7.14,-1.0,1.0,14.0,0.0,14.0,-1.0,16.0,0.0,16.0,4.0,14.0,3.0,15.0,1.0,14.0,16.0
14,2026-06-18 12:39:33,-6.67,-1.0,-1.0,15.0,1.0,14.0,0.0,14.0,-1.0,16.0,0.0,16.0,4.0,14.6,0.8944271909999159,14.0,16.0
13,2026-06-18 12:40:33,-7.14,1.0,-2.0,14.0,-1.0,15.0,1.0,14.0,0.0,14.0,-1.0,16.0,0.0,14.0,0.7071067811865474,13.0,15.0
15,2026-06-18 12:41:33,15.38,1.0,1.0,13.0,-2.0,14.0,-1.0,15.0,1.0,14.0,0.0,14.0,-1.0,14.2,0.8366600265340756,13.0,15.0
16,2026-06-18 12:42:33,6.67,1.0,2.0,15.0,1.0,13.0,-2.0,14.0,-1.0,15.0,1.0,14.0,0.0,14.6,1.140175425099138,13.0,16.0
18,2026-06-18 12:43:33,12.5,1.0,3.0,16.0,2.0,15.0,1.0,13.0,-2.0,14.0,-1.0,15.0,1.0,15.2,1.9235384061671348,13.0,18.0
19,2026-06-18 12:44:33,5.56,-1.0,4.0,18.0,3.0,16.0,2.0,15.0,1.0,13.0,-2.0,14.0,-1.0,16.2,2.387467277262665,13.0,19.0
18,2026-06-18 12:45:33,-5.26,-1.0,-1.0,19.0,4.0,18.0,3.0,16.0,2.0,15.0,1.0,13.0,-2.0,17.2,1.6431676725154991,15.0,19.0
17,2026-06-18 12:46:33,-5.56,-1.0,-2.0,18.0,-1.0,19.0,4.0,18.0,3.0,16.0,2.0,15.0,1.0,17.6,1.1401754250991396,16.0,19.0
16,2026-06-18 12:48:33,0.0,-1.0,0.0,16.0,-3.0,17.0,-2.0,18.0,-1.0,19.0,4.0,18.0,3.0,17.2,1.303840481040531,16.0,19.0
14,2026-06-18 12:50:33,0.0,-1.0,0.0,14.0,-1.0,16.0,0.0,16.0,-3.0,17.0,-2.0,18.0,-1.0,15.4,1.3416407864998747,14.0,17.0
12,2026-06-18 12:51:33,-14.29,-1.0,-1.0,14.0,0.0,14.0,-1.0,16.0,0.0,16.0,-3.0,17.0,-2.0,14.4,1.673320053068152,12.0,16.0
10,2026-06-18 12:53:33,0.0,1.0,0.0,10.0,-2.0,12.0,-1.0,14.0,0.0,14.0,-1.0,16.0,0.0,12.0,2.0000000000000004,10.0,14.0
12,2026-06-18 12:55:33,0.0,1.0,0.0,12.0,1.0,10.0,0.0,10.0,-2.0,12.0,-1.0,14.0,0.0,11.2,1.0954451150103328,10.0,12.0
14,2026-06-18 12:56:33,16.67,1.0,1.0,12.0,0.0,12.0,1.0,10.0,0.0,10.0,-2.0,12.0,-1.0,11.6,1.6733200530681516,10.0,14.0
16,2026-06-18 12:58:33,0.0,-1.0,0.0,16.0,2.0,14.0,1.0,12.0,0.0,12.0,1.0,10.0,0.0,14.0,2.0,12.0,16.0
14,2026-06-18 12:59:33,-12.5,-1.0,-1.0,16.0,0.0,16.0,2.0,14.0,1.0,12.0,0.0,12.0,1.0,14.4,1.6733200530681511,12.0,16.0
12,2026-06-18 13:01:33,0.0,1.0,0.0,12.0,-2.0,14.0,-1.0,16.0,0.0,16.0,2.0,14.0,1.0,14.0,2.0,12.0,16.0
13,2026-06-18 13:02:33,8.33,1.0,1.0,12.0,0.0,12.0,-2.0,14.0,-1.0,16.0,0.0,16.0,2.0,13.4,1.6733200530681511,12.0,16.0
15,2026-06-18 13:04:33,0.0,1.0,0.0,15.0,2.0,13.0,1.0,12.0,0.0,12.0,-2.0,14.0,-1.0,13.4,1.51657508881031,12.0,15.0
16,2026-06-18 13:06:33,0.0,-1.0,0.0,16.0,1.0,15.0,0.0,15.0,2.0,13.0,1.0,12.0,0.0,15.0,1.2247448713915894,13.0,16.0
15,2026-06-18 13:07:33,-6.25,1.0,-1.0,16.0,0.0,16.0,1.0,15.0,0.0,15.0,2.0,13.0,1.0,15.4,0.5477225575051667,15.0,16.0
16,2026-06-18 13:09:33,0.0,1.0,0.0,16.0,1.0,15.0,-1.0,16.0,0.0,16.0,1.0,15.0,0.0,15.8,0.44721359549995876,15.0,16.0
17,2026-06-18 13:11:33,0.0,-1.0,0.0,17.0,1.0,16.0,0.0,16.0,1.0,15.0,-1.0,16.0,0.0,16.2,0.8366600265340761,15.0,17.0
16,2026-06-18 13:12:33,-5.88,-1.0,-1.0,17.0,0.0,17.0,1.0,16.0,0.0,16.0,1.0,15.0,-1.0,16.4,0.5477225575051671,16.0,17.0
15,2026-06-18 13:13:33,-6.25,-1.0,-2.0,16.0,-1.0,17.0,0.0,17.0,1.0,16.0,0.0,16.0,1.0,16.2,0.8366600265340761,15.0,17.0
14,2026-06-18 13:14:33,-6.67,-1.0,-3.0,15.0,-2.0,16.0,-1.0,17.0,0.0,17.0,1.0,16.0,0.0,15.8,1.3038404810405304,14.0,17.0
12,2026-06-18 13:17:33,0.0,-1.0,0.0,12.0,0.0,12.0,-4.0,14.0,-3.0,15.0,-2.0,16.0,-1.0,13.0,1.4142135623730963,12.0,15.0
11,2026-06-18 13:18:33,-8.33,-1.0,-1.0,12.0,0.0,12.0,0.0,12.0,-4.0,14.0,-3.0,15.0,-2.0,12.2,1.0954451150103337,11.0,14.0
